章番号,問題番号,分類名称,問題文,借方,金額,貸方,金額,語群01,語群02,語群03,語群04,語群05,語群06,語群07,語群08,語群09,語群10,語群11,語群12,解説本文
SECT003,Q0010,手形取引,商品￥200を仕入れ、約束手形を振出した。,仕入,200,支払手形,200,現金,当座預金,買掛金,支払手形,売上,仕入,-,-,-,-,-,-,約束手形を振出した場合、「支払手形」（負債）の増加として仕訳します。#よって、#（借方）仕入200「費用の増加」#（貸方）支払手形200「負債の増加」#となります。# #オマケ情報#手形とは契約や権利等を表した書面のことです（昔は本当に手形を押していたそうですよ）。#また、約束手形とは「支払いを約束する手形」のことです。#支払を約束する手形ですので、約束手形を振出す（作成する）人はお金の返済義務があるということになります。#また、約束手形を受け取った人はお金を将来受け取れる権利があるということになります。#このように、手形を媒体とした債務者（借金がある人）は「支払手形」（負債）を仕訳し、#手形を媒体とした債権者（お金を将来受け取れる人）は「受取手形」（資産）を仕訳することになります。
SECT003,Q0020,手形取引,商品￥400を売上げ、約束手形を受け取った。,受取手形,400,売上,400,現金,当座預金,売掛金,受取手形,売上,仕入,-,-,-,-,-,-,約束手形を受け取った場合、「受取手形」（資産）と仕訳します。#よって、#（借方）受取手形400「資産の増加」#（貸方）売上400「収益の増加」#となります。
SECT003,Q0030,手形取引,先日振出した約束手形￥200の決済日となり、当座預金から引き落とされた。,支払手形,200,当座預金,200,現金,当座預金,買掛金,支払手形,売上,仕入,-,-,-,-,-,-,以前に振出した約束手形が決済された場合、「支払手形」（負債）の減少として仕訳します。#よって、#（借方）支払手形200「負債の減少」#（貸方）当座預金200「資産の減少」#となります。
SECT003,Q0040,手形取引,先日受け取った約束手形￥400の決済日となり当座預金に振り込まれた。,当座預金,400,受取手形,400,現金,当座預金,売掛金,受取手形,売上,仕入,-,-,-,-,-,-,以前に受け取った約束手形が決済された場合、「受取手形」（資産）の減少として仕訳します。#よって、#（借方）当座預金400「資産の増加」#（貸方）受取手形400「資産の減少」#となります。
SECT003,Q0050,手形取引,当店はA店から商品￥200を仕入れ、A店を受取人、B店を支払人とした、為替手形を振出した。,仕入,200,売掛金,200,現金,売掛金,受取手形,買掛金,支払手形,仕入,-,-,-,-,-,-,為替手形を振出して仕入れを行った場合、以前に計上していた「売掛金」（資産）を減少させます。#よって、#（借方）仕入200「費用の増加」#（貸方）売掛金200「資産の増加」#となります。# #オマケ情報#為替手形とは、「支払いを依頼する手形」のことです。#これは、本来自分が払わなければならない代金を、別の人に払ってもらうようにお願いする手形です。#その別の人とは、当店がお金を貸している人、すなわち、当店が過去に商品を売上げて「売掛金」を計上している相手のことです。#つまり、為替手形を振出した人は売掛金の代金を受け取ることを諦める代わりに、今回仕入代金を支払わなくて良くなるというわけです。
SECT003,Q0060,手形取引,当店はC店に対して買掛金￥200を計上していたが、D店受け取りの為替手形の呈示があったため、これを引き受けた。,買掛金,200,支払手形,200,現金,売掛金,受取手形,買掛金,支払手形,仕入,-,-,-,-,-,-,為替手形の引き受けを提示され、これを引き受けた場合、「買掛金」（負債）を減少させ、代わりに「支払手形」（負債）を増加させることになります。#よって、#（借方）買掛金200「負債の減少」#（貸方）支払手形200「負債の増加」#となります。# #オマケ情報#当店は過去に仕入を行っており、買掛金を計上していましたが、今回はその相手から別の人に払ってくれませんか？と手形でお願いされたわけです。#そこで、買掛金という口約束から手形の約束に借金の質が変わるわけですね。
SECT003,Q0070,手形取引,当店はE店に商品￥200を売上げ、E店振出し、F店引き受けの為替手形を受け取った。,受取手形,200,売上,200,現金,売掛金,受取手形,買掛金,支払手形,売上,-,-,-,-,-,-,売上代金を為替手形で受け取った場合、「受取手形」（資産）を増加させます。#よって、#（借方）受取手形200「資産の増加」#（貸方）売上200「収益の増加」#となります。
SECT003,Q0080,手形取引,当店はG店に対する買掛金￥300の代金としてG店を名宛人、H店を指図人とした為替手形を振出した。,買掛金,300,売掛金,300,現金,売掛金,受取手形,買掛金,支払手形,仕入,-,-,-,-,-,-,当店は買掛金に対して為替手形を振出しました。#よって、#（借方）買掛金300「負債の減少」#（貸方）売掛金300「資産の減少」#となります。# #オマケ情報#為替手形において、指図人＝受取人、名宛人＝支払人のことです。#「名宛」人というのは、為替手形が支払いをお願いする手形なので、お願いされる（＝宛名に書かれている）人ということです。#「指図」人というのは、「○○さんに支払って下さい」と、指図されている人ということです。#ちなみに、約束手形では振出人＝支払人、名宛人＝受取人となります。#なぜかというと、約束手形は支払いを約束する手形なので、約束される（宛名に書かれている）人は「支払ってもらえる人」となるからです。
SECT003,Q0090,手形取引,当店はI店に対する掛代金￥900の支払いのため、小切手を￥200振出し、J店引受けの為替手形を￥300振出し、残額は約束手形を振出した。,買掛金,900,当座預金,200,当座預金,売掛金,受取手形,買掛金,支払手形,仕入,-,-,-,-,-,-,掛代金900のうち、200は小切手（当座預金の減少）、300は為替手形（売掛金の減少）、残額400は約束手形（支払手形の増加）を振出しました。#よって、#（借方）買掛金900「負債の減少」#（貸方）当座預金200「資産の減少」#（貸方）売掛金300「資産の減少」#（貸方）支払手形400「負債の増加」#となります。
SECT003,Q0091,手形取引,-,-,-,売掛金,300,当座預金,売掛金,受取手形,買掛金,支払手形,仕入,-,-,-,-,-,-,-
SECT003,Q0092,手形取引,-,-,-,支払手形,400,当座預金,売掛金,受取手形,買掛金,支払手形,仕入,-,-,-,-,-,-,-
SECT003,Q0100,手形取引,買掛金支払いのため、得意先B商店から受取った約束手形￥100を裏書譲渡した。,買掛金,100,受取手形,100,現金,売掛金,受取手形,買掛金,支払手形,仕入,-,-,-,-,-,-,買掛金の代金として手形を裏書譲渡する場合、#（借方）買掛金100「負債の減少」#（貸方）受取手形100「資産の減少」#として仕訳します。# #オマケ情報#手形を人に譲渡することを「裏書く」といいます。#なぜ、そう呼ぶかというと、手形の「裏」面に新しい持ち主の名前を「書」くからなんです。
[EOF],,,,,,,,,,,,,,,,,,,,
